beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.2,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.7501908315179295,0.00480056819940887,1342675.0,0.313379819244505
0.2,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6382062321757532,0.004619177430051422,23010.0,0.6128624252294401
0.3,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.33412668519261246,0.01856274084548458,3790.0,0.894595234510669
0.3,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5986521472478401,0.008855813584210084,460519.0,0.5854267670626359
0.3,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5320661169831311,0.010658776204887258,4980.0,0.9240090746467924
0.3,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.7031145248965791,0.0048372751137239186,401456.0,0.4711523114067811
0.3,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6477015909066598,0.008436879350017155,12576.0,0.7516966080573318
0.3,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.34794266601068174,0.016240131539189823,4477.0,0.9072226649348888
0.3,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5292911537455863,0.009122557629602065,4356.0,0.9500575261156408
0.3,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5330978658945387,0.009334323116840341,4656.0,0.9299821108617558
0.3,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.7721819333440291,0.007558425457641292,217100.0,0.39384761244399813
0.3,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6415072858303927,0.007678548336457733,13024.0,0.7488965266636256
0.3,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.31244630681867597,0.018576341156975856,3343.0,0.9355676943467165
0.3,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.57468487505476,0.008883633342999693,23089.0,0.7005422584685234
